city,province,year,gdp,gdp_per_capita,secondary_value_added,industrial_output,population,employment,average_wage,fdi,fixed_asset_investment,education_proxy,telecom_or_internet_proxy,foreign_trade,source_name,source_file
Zhengzhou,Henan,2022,12691.0,13.930845225027442,0.11,,911.0,2198216.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Zhengzhou,Henan,2024,13618.0,10.467332820906995,0.1,,1301.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Zhenjiang,Jiangsu,2021,4220.0,13.146417445482866,1.57,,321.0,367900.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Zhenjiang,Jiangsu,2022,4763.0,17.77238805970149,1.44,,268.0,380000.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Zhenjiang,Jiangsu,2024,5264.0,16.29721362229102,1.41,,323.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Zhongshan,Guangdong,2021,3152.0,7.115124153498871,49.4,,443.0,753353.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Zhongshan,Guangdong,2022,3566.0,17.91959798994975,49.41,,199.0,786593.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Zhongshan,Guangdong,2024,3851.0,8.634529147982063,51.05,,446.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Zhuhai,Guangdong,2021,3482.0,14.212244897959184,1.72,,245.0,843819.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Zhuhai,Guangdong,2022,3882.0,26.22972972972973,1.42,,148.0,797896.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Zhuhai,Guangdong,2024,4233.0,17.0,1.65,,249.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
