term,coef,std_err,p_value,n_obs,r_squared,model,formula,note,exposure_source
C(city)[T.Dezhou],-0.14391919448112628,0.12203987222648131,0.2382866539187396,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Dongguan],-0.05607298982577058,0.14685610878390712,0.702592911025599,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Fangchenggang],-0.11912431883957636,0.11209992538721712,0.2879353083006322,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Foshan],-0.4080515303250557,0.14892197968728219,0.006143252441946138,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Fuzhou],-0.08759865433267056,0.12094636200630504,0.46889576491785867,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Ganzhou],-0.46153809793393175,0.14685610878390712,0.0016734512092686903,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Golmud],-0.26291689767031645,0.1844569746990975,0.15405425422998126,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Guangzhou],-0.14859569235412454,0.03737155741099129,7.003385726799479e-05,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Guilin],-0.19525511840704862,0.12817499663201343,0.12767167663442228,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Guixi],-0.06563775123070714,0.13075370110258297,0.6156707850148384,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Guiyang],-0.19525511840705256,0.12817499663201398,0.1276716766344162,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Haikou],-0.17084899010838567,0.15722052886721632,0.2771766086068084,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Hanchuan],-0.14176855079817519,0.1448597797856856,0.32774773381769995,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Handan],-0.2635879245823197,0.12439878919888404,0.03409937412737019,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Hangzhou],0.32787708121247583,0.03918661421458196,5.906941566895062e-17,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Hanzhong],-0.4615380979339339,0.14685610878390676,0.001673451209268564,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Harbin],-0.21876511415647087,0.14040954247469217,0.11922135121344878,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Hefei],-0.10050271812140275,0.028302771035156136,0.0003837921496558068,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Hengshui],-0.4615380979339287,0.14685610878390692,0.0016734512092687875,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Hengyang],-0.22433555771725872,0.15246129710661424,0.14117587334673856,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Hohhot],-0.31512608402830444,0.13358351489766265,0.018323304911205148,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Huai'an],-0.19525511840705123,0.12817499663201312,0.12767167663441625,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Huangshi],-0.22686881013963967,0.12551770604972817,0.07068986970492741,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Huizhou],-0.26291689767031867,0.1844569746990973,0.15405425422997737,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Huzhou],-0.3342276233985443,0.13208743664302833,0.011394835795246479,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Jian],-0.22433555771725922,0.15246129710661482,0.14117587334673923,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Jiangyin],-0.11912431883957947,0.11209992538721693,0.28793530830061875,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Jiaxing],-0.44370924206430895,0.1462218654964967,0.0024094026606523325,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Jilin],-0.15343058125428521,0.14105449318771074,0.2767100077155056,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Jinan],-0.23946330950921896,0.025851100920988718,1.9843904441701227e-20,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Jincheng],-0.14391919448112328,0.12203987222648158,0.23828665391875048,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Jingdezhen],-0.4080515303250599,0.14892197968728238,0.006143252441945679,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
