city,province,pilot_zone,gdp,telecom_or_internet_proxy,secondary_value_added,industrial_output,direct_admin_municipality,mega_hub,top_10_gdp_city,typology_control_source,province_manufacturing_intensity,diffusion_type_ex_ante
Aksu,Xinjiang,0,,,,,0,0,0,no_controls,,ex_ante_nonpilot_low_capacity
Anqing,Anhui,0,,,,,0,0,0,no_controls,,ex_ante_nonpilot_low_capacity
Anshan,Liaoning,0,,,,,0,0,0,no_controls,,ex_ante_nonpilot_low_capacity
Baise,Guangxi,0,,,,,0,0,0,no_controls,,ex_ante_nonpilot_low_capacity
Baotou,Inner Mongolia,0,3523.5,364.0,34.39,50249733.0,0,0,0,no_controls,0.009760181637576274,ex_ante_nonpilot_low_capacity
Beihai,Guangxi,0,,,,,0,0,0,no_controls,,ex_ante_nonpilot_low_capacity
Beijing,Beijing,1,,,,,1,1,0,no_controls,,frontier_municipality_hub
Bengbu,Anhui,0,,,,,0,0,0,no_controls,,ex_ante_nonpilot_low_capacity
Benxi,Liaoning,0,,,,,0,0,0,no_controls,,ex_ante_nonpilot_low_capacity
Binzhou,Shandong,0,,,,,0,0,0,no_controls,,ex_ante_nonpilot_low_capacity
Cangzhou,Hebei,0,,,,,0,0,0,no_controls,,ex_ante_nonpilot_low_capacity
Changchun,Jilin,0,6872.0,1122.0,1.575,89888855.0,0,0,0,no_controls,0.00022919091967403958,ex_ante_nonpilot_low_capacity
Changde,Hunan,0,,,,,0,0,0,no_controls,,ex_ante_nonpilot_low_capacity
Changji,Xinjiang,0,,,,,0,0,0,no_controls,,ex_ante_nonpilot_low_capacity
Changsha,Hunan,1,13428.0,1575.0,0.91,91494825.0,0,0,0,no_controls,6.776884122728627e-05,ex_ante_pilot_non_hub
Changshu,Jiangsu,0,,,,,0,0,0,no_controls,,ex_ante_nonpilot_low_capacity
Changyuan,Henan,0,,,,,0,0,0,no_controls,,ex_ante_nonpilot_low_capacity
Changzhou,Jiangsu,0,9069.75,703.0,1.4749999999999999,181085480.0,0,0,0,no_controls,0.00016262851787535488,ex_ante_nonpilot_low_capacity
