year,table_code,filename,relative_path,size_bytes,hints,preview
2022,2-20,2022_2022-3-1 人口状况.xlsx,2022\2022_2022-3-1 人口状况.xlsx,25934,population,3-1人口状况 Population | 单位：万人 | 城市 | City | 年末户籍人口 Household Registered Population at Year-end | 河北省 | Hebei | 辛集市 | Xinji | 62.9 | 晋州市 | Jinzhou | 57.3 | 新乐市 | Xinle | 51.7 | 遵化市 | Zunhua | 74.9 | 迁安市 | Qian'an | 77.6 | 滦州市 | Luanzhou | 56.7 | 武安市 | Wu'an | 85
2022,2-20,2022_2022-3-3 地区生产总值.xlsx,2022\2022_2022-3-3 地区生产总值.xlsx,39930,gdp|gdp_composition,3-3地区生产总值 Gross Regional Product | 单位：万元 | (10 000 yuan) | 城 市 | City | 地区生产总值 Gross Regional Product | 第一产业增加值 Value-added of the Primary Industry | 第二产业增加值 Value-added of the Secondary Industry | 第三产业增加值 Value-added of the Tertiary Industry | 河北省 | Hebei | 辛集市 | Xinji | 4766155 | 532288 | 3101177 | 1132690 | 晋州市 | Jinzhou | 1715029 | 367887 | 493600 | 853542 | 新乐市 | Xinle | 1574252 | 357982 | 458650 | 757620 | 遵化市 | Zunhua | 5072408 | 562213 | 2283657 | 2226538 | 迁安市 | Qian'an | 11602895 | 328941 | 7790900 | 3483054 | 滦州市 | Luanzhou | 4737752 | 503268 | 2863640 | 1370844 | 武安市 | Wu'an | 7581344 | 290720 | 4817277 | 2473347
2023,2-1,2023_2-1 人口数.xlsx,2023\2023_2-1 人口数.xlsx,29817,population,2-1人口数 | Household Resident Population | 单位：万人 | (10 000 persons) | 城 市 | City | 户籍人口 Household Resident Population | 城镇户籍人口 Urban Household Resident Population | 全市 Total City | 市辖区 Districts under City | 全市 Total City | 市辖区 Districts under City | 北京市 | Beijing | 1428 | 1428 | 1216 | 1216 | 天津市 | Tianjin | 1161 | 1161 | 844 | 844 | 河北省 | Hebei
2023,2-18,2023_2-18 劳动力就业及收入状况（全市）.xlsx,2023\2023_2-18 劳动力就业及收入状况（全市）.xlsx,29644,employment_wage,2-18劳动力就业及收入状况（全市） | Employment and Income of Labour Force （Total City） | 城 市 | City | 城镇非私营单位 从业人员期末人数 （人） Persons Employed in Urban Non-Private Units at Year-end （persons） | 城镇非私营单位 在岗职工平均人数 （万人） Average Number of Employed Staff and Workers in Urban Non-Private Units （10 000 persons） | 城镇非私营单位 在岗职工工资总额 （万元） Total Wage Bill of Employed Staff and Workers in Urban Non-Private Units （10 000 yuan） | 北京市 | Beijing | 7470567 | 714 | 153565189 | 天津市 | Tianjin | 2433406 | 213 | 31106122 | 河北省 | Hebei | 石家庄市 | Shijiazhuang | 1037065 | 98 | 9897290 | 唐山市 | Tangshan | 739346 | 71 | 6799202 | 秦皇岛市 | Qinhuangdao | 270837 | 26 | 2579860 | 邯郸市 | Handan | 585705 | 54 | 4625003 | 邢台市 | Xingtai | 400377 | 37 | 2901657
2023,2-7,2023_2-7 地区生产总值.xlsx,2023\2023_2-7 地区生产总值.xlsx,34942,gdp,2-7地区生产总值 | Gross Regional Product | 城 市 | City | 地区生产总值（当年价格） （亿元） Gross Regional Product （Current Prices） （100 000 000 yuan） | 人均地区生产总值 (元) Per Capita GRP (yuan) | 地区生产总值增长率 (%) GRP Growth Rate (%) | 全市 Total City | 市辖区 Districts under City | 全市 Total City | 市辖区 Districts under City | 全市 Total City | 市辖区 Districts under City | 北京市 | Beijing | 41611 | 41611 | 190313 | 190313 | 0.7 | 0.7 | 天津市 | Tianjin | 16311 | 16311 | 119235 | 119235 | 0.96 | 0.96 | 河北省 | Hebei | 石家庄市 | Shijiazhuang | 7101 | 4417 | 63319 | 76693 | 6.35 | 7.49 | 唐山市 | Tangshan | 8901 | 5059 | 115571 | 133738 | 4.65 | 4.98 | 秦皇岛市 | Qinhuangdao | 1910 | 1279 | 61277 | 68002 | 3.5 | 3.45 | 邯郸市 | Handan | 4346 | 1806 | 46615
2023,2-8,2023_2-8 地区生产总值构成.xlsx,2023\2023_2-8 地区生产总值构成.xlsx,35083,gdp|gdp_composition,2-8地区生产总值构成 | Composition of Gross Regional Product | 单位：% | （%） | 城 市 | City | 第一产业占 地区生产总值的比重 Primary Industry as Percentage to GRP | 第二产业占 地区生产总值的比重 Secondary Industry as Percentage to GRP | 第三产业占 地区生产总值的比重 Tertiary Industry as Percentage to GRP | 全市 Total City | 市辖区 Districts under City | 全市 Total City | 市辖区 Districts under City | 全市 Total City | 市辖区 Districts under City | 北京市 | Beijing | 0.27 | 0.27 | 15.87 | 15.87 | 83.86 | 83.86 | 天津市 | Tianjin | 1.67 | 1.67 | 37.02 | 37.02 | 61.3 | 61.3 | 河北省 | Hebei | 石家庄市 | Shijiazhuang | 7.86 | 2.1 | 32.87 | 29.85 | 59.27 | 68.05
2023,3-1,2023_3-1 人口状况.xlsx,2023\2023_3-1 人口状况.xlsx,25795,population,3-1人口状况 | Population | 单位：万人 | (10 000 persons) | 城 市 | City | 年末户籍人口 Household Registered Population at Year-end | 河北省 | Hebei | 辛集市 | Xinji | 63 | 晋州市 | Jinzhou | 57 | 新乐市 | Xinle | 52 | 遵化市 | Zunhua | 75
2023,3-3,2023_3-3 地区生产总值.xlsx,2023\2023_3-3 地区生产总值.xlsx,39248,gdp|gdp_composition,3-3地区生产总值 | Gross Regional Product | 单位：万元 | (10 000 yuan) | 城 市 | City | 地区生产总值 Gross Regional Product | 第一产业增加值 Value-added of the Primary Industry | 第二产业增加值 Value-added of the Secondary Industry | 第三产业增加值 Value-added of the Tertiary Industry | 河北省 | Hebei | 辛集市 | Xinji | 4313138 | 564560 | 2548506 | 1200072 | 晋州市 | Jinzhou | 1923419 | 444183 | 558059 | 921177 | 新乐市 | Xinle | 1726641 | 380280 | 520808 | 825553 | 遵化市 | Zunhua | 5503687 | 622864 | 2498424 | 2382399
2024,2-1,2024_2-1_人口数.xlsx,2024\2024_2-1_人口数.xlsx,32045,population,2-1人口数 | Permanent Resident Population | 城 市 | City | 常住人口（万人） Permanent Resident Population (10 000 persons) | 常住人口城镇化率(%) Urbanization Rate of Permanent Resident Population(%) | 全市 Total City | 市辖区 Districts under City | 全市 Total City | 北京市 | Beijing | 2186 | 2186 | 87.83 | 天津市 | Tianjin | 1364 | 1364 | 85.49 | 河北省 | Hebei | 石家庄市 | Shijiazhuang | 1123 | 578 | 72.28
2024,2-6,2024_2-6_地区生产总值.xlsx,2024\2024_2-6_地区生产总值.xlsx,40416,gdp,2-6地区生产总值 | Gross Regional Product | 城 市 | City | 地区生产总值（当年价格） （亿元） Gross Regional Product （Current Prices） （100 000 000 yuan） | 人均地区生产总值 (元) Per Capita GRP (yuan) | 地区生产总值增长率 (%) GRP Growth Rate (%) | 全市 Total City | 市辖区 Districts under City | 全市 Total City | 市辖区 Districts under City | 全市 Total City | 市辖区 Districts under City | 北京市 | Beijing | 43761 | 43761 | 200278 | 200278 | 5.20 | 5.20 | 天津市 | Tianjin | 16737 | 16737 | 122752 | 122752 | 4.27 | 4.27 | 河北省 | Hebei | 石家庄市 | Shijiazhuang | 7534 | 4710 | 67099 | 81615 | 6.10 | 6.40 | 唐山市 | Tangshan | 9133 | 5301 | 118418 | 139772 | 5.85 | 6.20
