model,term,coef,std_err,p_value,n_obs,n_nonzero_outcome,n_cities,n_industries,years,fixed_effects,sample_rule,estimator_status,claim_tier,interpretation,not_supported_claims
pilot_x_ai_exposure_patents_saturated_ols_log1p,post_x_exposure,-0.010429414839052327,,,762,381,162,21,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","city_industry, province_year, industry_year",atlas_patent_years_saturated_fe,failed_covariance,not_supported,Pilot-zone x ex-ante AI exposure association with industrial AI patents.,causal productivity; export upgrading; procurement commercial output; economy-wide productivity shock
pilot_x_ai_exposure_patents_saturated_poisson,post_x_exposure,,,,762,381,162,21,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","city_industry, province_year, industry_year",atlas_patent_years_saturated_fe,failed_covariance,not_supported,Pilot-zone x ex-ante AI exposure association with industrial AI patents.,causal productivity; export upgrading; procurement commercial output; economy-wide productivity shock
