model,term,coef,std_err,p_value,n_obs,n_nonzero_outcome,n_cities,n_industries,years,fixed_effects,sample_rule,estimator_status,claim_tier,interpretation,not_supported_claims
atlas_event_study_patents,event_k_m4,0.15737591698322193,,,139,96,16,17,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","city_industry, province_year, industry_year",pilot_cities_event_window,failed_covariance,not_supported,Event-time coefficient k=-4 (omitted k=-1) x AI exposure.,causal productivity; export upgrading; procurement commercial output; economy-wide productivity shock
atlas_event_study_patents,event_k_m3,0.1631148441413359,,,139,96,16,17,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","city_industry, province_year, industry_year",pilot_cities_event_window,failed_covariance,not_supported,Event-time coefficient k=-3 (omitted k=-1) x AI exposure.,causal productivity; export upgrading; procurement commercial output; economy-wide productivity shock
atlas_event_study_patents,event_k_m2,0.10802630126206018,,,139,96,16,17,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","city_industry, province_year, industry_year",pilot_cities_event_window,failed_covariance,not_supported,Event-time coefficient k=-2 (omitted k=-1) x AI exposure.,causal productivity; export upgrading; procurement commercial output; economy-wide productivity shock
atlas_event_study_patents,event_k_0,0.11196546246274353,,,139,96,16,17,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","city_industry, province_year, industry_year",pilot_cities_event_window,failed_covariance,not_supported,Event-time coefficient k=0 (omitted k=-1) x AI exposure.,causal productivity; export upgrading; procurement commercial output; economy-wide productivity shock
atlas_event_study_patents,event_k_1,0.14079549687275206,,,139,96,16,17,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","city_industry, province_year, industry_year",pilot_cities_event_window,failed_covariance,not_supported,Event-time coefficient k=1 (omitted k=-1) x AI exposure.,causal productivity; export upgrading; procurement commercial output; economy-wide productivity shock
atlas_event_study_patents,event_k_2,0.11088221522376167,,,139,96,16,17,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","city_industry, province_year, industry_year",pilot_cities_event_window,failed_covariance,not_supported,Event-time coefficient k=2 (omitted k=-1) x AI exposure.,causal productivity; export upgrading; procurement commercial output; economy-wide productivity shock
atlas_event_study_patents,event_k_3,-0.0742595220866423,,,139,96,16,17,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","city_industry, province_year, industry_year",pilot_cities_event_window,failed_covariance,not_supported,Event-time coefficient k=3 (omitted k=-1) x AI exposure.,causal productivity; export upgrading; procurement commercial output; economy-wide productivity shock
atlas_event_study_patents,event_k_4,-0.20573554605289648,,,139,96,16,17,"2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","city_industry, province_year, industry_year",pilot_cities_event_window,failed_covariance,not_supported,Event-time coefficient k=4 (omitted k=-1) x AI exposure.,causal productivity; export upgrading; procurement commercial output; economy-wide productivity shock
